sample_id,sample_name,organism,title,seq_method,collection_date,biome,feature,geo_loc_country,geo_loc_state,geo_loc_city,geo_loc_farm,geo_loc_plot,latitude,longitude,material,elevation,depth,pool_dna_extracts,samp_size,samp_collection_device,samp_weight_dna_ext,sieving,storage_cond,annual_season_precpt,annual_season_temp,bulk_density,drainage_class,fao_class,horizon,local_class,porosity,profile_position,slope_aspect,slope_gradient,soil_type,texture_class,water_content_soil,pH,EC,tot_C,tot_OM,tot_N,NO3_N,NH4_N,P,K,S,Zn,Fe,Cu,Mn,Ca,Mg,Na,B,agrochem_amendments,agrochem_amendments_desc,biological_amendments,biological_amendments_desc,soil_amendments,soil_amendments_desc,cover_crop,crop_rotation,cur_land_use,cur_vegetation,cur_crop,cur_cultivar,organic,previous_land_use,tillage,rRNA_copies,microbial_biomass_C,microbial_biomass_N,microbial_respiration,usr_cat1,usr_cat2,usr_cat3,usr_cat4,usr_cat5,usr_cat6,usr_quant1,usr_quant2,usr_quant3,usr_quant4,usr_quant5,usr_quant6
0fc7ec326c4342c7bccbc9fa06b6c7cf,CO.Bulk.New.Rose.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,New,null,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
aa2681574dfc4a69a58b7b919be68f5f,CO.Bulk.Worley.Centennial.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,Worley,null,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
f80513881e914be890f31b7818262901,CO.Bulk.Rockey.Binjte.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,Rockey,null,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
8fe9eb74e1dc4018880ff9e4a618f190,CO.Bulk.New.Desiree.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,New,null,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
9b1b79a83d284bc993160a761e2e260b,CO.Bulk.Worley.RioGrande.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,Worley,null,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Rio Grande,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
3c5a5aa4237b4f91a2c94881a322dd19,CO.Bulk.Rockey.MarisPiper.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,Rockey,null,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Maris Piper,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
0832fe1d322b4a06885d3dc0eb7074a1,CO.Rhiz.New.Rose.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,New,null,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
29badd80c6a34d508dbac180704fde62,CO.Rhiz.Worley.Centennial.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,Worley,null,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
3625bfcb09e841f1b46a1cc5b90b8110,CO.Rhiz.Rockey.Binjte.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,Rockey,null,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
36944ecd6dba475a9f376362146e646f,CO.Rhiz.New.Desiree.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,New,null,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
