sample_id,sample_name,organism,title,seq_method,collection_date,biome,feature,geo_loc_country,geo_loc_state,geo_loc_city,geo_loc_farm,geo_loc_plot,latitude,longitude,material,elevation,depth,pool_dna_extracts,samp_size,samp_collection_device,samp_weight_dna_ext,sieving,storage_cond,annual_season_precpt,annual_season_temp,bulk_density,drainage_class,fao_class,horizon,local_class,porosity,profile_position,slope_aspect,slope_gradient,soil_type,texture_class,water_content_soil,pH,EC,tot_C,tot_OM,tot_N,NO3_N,NH4_N,P,K,S,Zn,Fe,Cu,Mn,Ca,Mg,Na,B,agrochem_amendments,agrochem_amendments_desc,biological_amendments,biological_amendments_desc,soil_amendments,soil_amendments_desc,cover_crop,crop_rotation,cur_land_use,cur_vegetation,cur_crop,cur_cultivar,organic,previous_land_use,tillage,rRNA_copies,microbial_biomass_C,microbial_biomass_N,microbial_respiration,usr_cat1,usr_cat2,usr_cat3,usr_cat4,usr_cat5,usr_cat6,usr_quant1,usr_quant2,usr_quant3,usr_quant4,usr_quant5,usr_quant6
0feaff433b4e41939ec69fa26819f663,sample1,soil metagenome,Bulk soil from Farm 1,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 1,Plot 1,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,disc plough,6.30E+008,null,null,null,Farm 1,null,null,null,null,null,186,null,null,null,null,null
03dd9c78fea24378a39a06cb8436a920,sample2,soil metagenome,Bulk soil from Farm 2,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 2,Plot 1,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,disc plough,4.50E+008,null,null,null,Farm 2,null,null,null,null,null,63,null,null,null,null,null
107b1bc7380c4021a5bef7386e667f74,sample3,soil metagenome,Bulk soil from Farm 3,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 3,Plot 1,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,disc plough,5.30E+008,null,null,null,Farm 3,null,null,null,null,null,125,null,null,null,null,null
d5335d8279854523b9e283965ab2540e,sample4,soil metagenome,Bulk soil from Farm 1,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 1,Plot 2,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,disc plough,1.03E+009,null,null,null,Farm 1,null,null,null,null,null,195,null,null,null,null,null
86b3b316053f4d1eb24b3a2b98aa9c3c,sample5,soil metagenome,Bulk soil from Farm 2,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 2,Plot 2,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Rio Grande,no,null,disc plough,5.80E+008,null,null,null,Farm 2,null,null,null,null,null,54,null,null,null,null,null
861bd389083449d09fd1fe8bd1d4aa48,sample6,soil metagenome,Bulk soil from Farm 3,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 3,Plot 2,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Maris Piper,hybrid,null,disc plough,4.35E+008,null,null,null,Farm 3,null,null,null,null,null,132,null,null,null,null,null
a350a39c12f04f5fad396e2477d15a6a,sample7,soil metagenome,Rhizosphere soil from Farm 1,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 1,Plot 1,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,disc plough,3.53E+005,null,null,null,Farm 1,null,null,null,null,null,202,null,null,null,null,null
027669df7c8a44e5822af04fc4d9adf8,sample8,soil metagenome,Rhizosphere soil from Farm 2,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 2,Plot 1,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,disc plough,4.13E+005,null,null,null,Farm 2,null,null,null,null,null,48,null,null,null,null,null
4f4890bfcea54b7091f7ba6066c5b92f,sample9,soil metagenome,Rhizosphere soil from Farm 3,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 3,Plot 1,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,disc plough,3.02E+005,null,null,null,Farm 3,null,null,null,null,null,143,null,null,null,null,null
107106dc8b3c450bb7ab8887eeae276e,sample10,soil metagenome,Rhizosphere soil from Farm 1,V3 16S rRNA,01/01/2015,farm,farm,USA,CO,Center,Farm 1,Plot 2,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,disc plough,2.98E+005,null,null,null,Farm 1,null,null,null,null,null,196,null,null,null,null,null
